Tname tGapStart tGapSize Qname qGapStart qGapSize Samples
OsjChr10 11113113 29 708818 57 0 YB5;
OsjChr10 11119592 87 755752 348 0 YB5;
OsjChr10 1113148 10 646814 262 0 YB2;
OsjChr10 1113148 10 781404 253 0 YB1;
OsjChr10 11146985 7 751134 341 0 YB5;
OsjChr10 1117201 284 778763 11 0 YB5;
OsjChr10 1117235 247 1162966 44 0 YB3;
OsjChr10 11182366 5 1109815 41 1 YB6;
OsjChr10 11273315 127 809920 445 0 YB2;
OsjChr10 11306066 26 1171345 1116 0 YB5;
OsjChr10 11306066 26 1175484 1628 0 YB4;
OsjChr10 11306066 26 1183488 29 0 YB7;
OsjChr10 11306066 26 1185199 3368 0 YB6;
OsjChr10 11306066 26 823789 9 0 YB8;
OsjChr10 11306066 28 1208993 6 0 YB3;
OsjChr10 11324936 56 1227107 5 0 YB8;
OsjChr10 11350345 6 670436 30 0 YB2;
OsjChr10 11350345 6 959316 318 0 YB3;
OsjChr10 11448645 90 846547 5 0 YB5;
OsjChr10 11486770 301 1126171 1008 0 YB8;
OsjChr10 11492370 16 924899 75 5 YB3;
OsjChr10 11537494 15 1068059 1523 0 YB2;
OsjChr10 11537494 15 1068813 1523 0 YB5;
OsjChr10 11537494 15 1131138 64 0 YB7;
OsjChr10 11537494 15 1138330 1521 0 YB3;
OsjChr10 11537494 15 1171305 1523 0 YB6;
OsjChr10 11537494 15 1175300 369 0 YB4;
OsjChr10 11537494 15 1289779 511 0 YB8;
OsjChr10 1155437 110 1088096 875 0 YB4;
OsjChr10 11558184 52 1091706 691 0 YB4;
OsjChr10 11558184 52 1184007 6147 0 YB6;
OsjChr10 11558184 52 841475 306 0 YB7;
OsjChr10 11558184 52 863519 342 0 YB2;
OsjChr10 11558184 52 943907 311 0 YB8;
OsjChr10 11558184 52 963896 18 0 YB3;
OsjChr10 11571097 67 835603 309 0 YB1;
OsjChr10 11622272 7 1067603 1224 8 YB3;
OsjChr10 11622317 9 1067603 1270 8 YB3;
OsjChr10 11719256 394 1145749 8 0 YB8;
OsjChr10 1172 56 824321 32 0 YB2;
OsjChr10 11746116 7 1098897 147 0 YB5;
OsjChr10 11746116 7 1120099 1412 0 YB6;
OsjChr10 11746116 7 1174642 3034 0 YB7;
OsjChr10 11746116 7 1201073 2164 0 YB3;
OsjChr10 11746116 7 1257671 3032 0 YB4;
OsjChr10 11746116 7 1314163 2161 0 YB8;
OsjChr10 11746116 7 928441 755 0 YB2;
OsjChr10 11747031 4498 1098897 1056 547 YB5;
OsjChr10 11747031 4498 1139430 899 547 YB2;
OsjChr10 11747031 4498 1201073 3073 547 YB3;
OsjChr10 11747031 4498 1314163 3070 547 YB8;
OsjChr10 11748119 12 647196 62 0 YB2;
OsjChr10 11748119 12 672615 62 0 YB7;
OsjChr10 11748119 12 686410 79 0 YB5;
OsjChr10 11748119 12 789330 62 0 YB1;
OsjChr10 11748119 12 878222 72 0 YB4;
OsjChr10 11760234 33 888909 597 0 YB7;
OsjChr10 11760234 33 983781 413 0 YB4;
OsjChr10 11763820 4259 1103803 996 0 YB5;
OsjChr10 11763820 4259 1159568 2924 0 YB7;
OsjChr10 11763820 4259 1183725 604 0 YB6;
OsjChr10 11763820 4259 1299283 625 0 YB8;
OsjChr10 11783417 8 1034259 477 32 YB5;
OsjChr10 11783417 8 1077750 982 32 YB2;
OsjChr10 11783417 8 1097440 956 32 YB7;
OsjChr10 11783417 8 1140660 473 32 YB4;
OsjChr10 11783417 8 1176850 441 32 YB8;
OsjChr10 11783417 8 986503 135 32 YB6;
OsjChr10 11783435 28 1034259 519 1 YB5;
OsjChr10 11783435 28 1077750 1024 1 YB2;
OsjChr10 11783435 28 1097440 998 1 YB7;
OsjChr10 11783435 28 1140660 515 1 YB4;
OsjChr10 11783435 28 1141172 1228 1 YB3;
OsjChr10 11783435 28 1176850 483 1 YB8;
OsjChr10 11783435 28 986503 177 1 YB6;
OsjChr10 11802914 65 1224713 23 0 YB8;
OsjChr10 1180523 26 1107055 2171 0 YB5;
OsjChr10 11829876 151 991255 432 0 YB4;
OsjChr10 11863957 63 1173688 1637 0 YB4;
OsjChr10 11923663 3037 876327 157 0 YB5;
OsjChr10 12016315 18 1169668 1234 0 YB8;
OsjChr10 1207607 236 654202 254 0 YB6;
OsjChr10 12100124 363 925427 7 0 YB6;
OsjChr10 12124815 6 833075 100 0 YB2;
OsjChr10 12125465 14 685173 271 0 YB7;
OsjChr10 12171403 143 1315519 8 0 YB8;
OsjChr10 12178546 84 1183487 510 365 YB3;
OsjChr10 12188137 161 925583 6 0 YB2;
OsjChr10 12193165 2653 1251492 2810 0 YB4;
OsjChr10 12204853 164 1118458 817 118 YB3;
OsjChr10 12208454 22 1112220 1909 3 YB7;
OsjChr10 12208499 126 1112220 1932 19 YB7;
OsjChr10 12208679 10 1112220 2005 19 YB7;
OsjChr10 12226435 206 1233587 6 0 YB8;
OsjChr10 12283033 13 1003521 382 0 YB4;
OsjChr10 12283033 13 933055 382 0 YB3;
OsjChr10 12381548 2046 1053064 564 0 YB7;
OsjChr10 12383544 48 823411 433 0 YB7;
OsjChr10 1250 98 1178412 41 0 YB7;
OsjChr10 1250 98 730838 41 0 YB5;
OsjChr10 1251 118 1060155 28 0 YB6;
OsjChr10 1251 118 824321 55 0 YB2;
OsjChr10 12511516 438 1050409 1364 0 YB6;
OsjChr10 12641007 171 747929 9 0 YB8;
OsjChr10 12662730 30 854828 324 0 YB3;
OsjChr10 12667708 23 1162771 133 0 YB5;
OsjChr10 12667708 23 1188014 172 0 YB8;
OsjChr10 12667708 23 1196671 699 0 YB3;
OsjChr10 12667708 23 1278195 1293 0 YB4;
OsjChr10 12667708 23 956313 485 0 YB6;
OsjChr10 12667708 23 957961 197 0 YB7;
OsjChr10 12667708 23 970693 389 0 YB2;
OsjChr10 1269 103 1068745 58 5 YB1;
OsjChr10 1269 103 1119658 58 5 YB3;
OsjChr10 1269 103 1162884 58 5 YB4;
OsjChr10 1272386 30 762985 348 0 YB6;
OsjChr10 12764960 52 1072829 1362 0 YB6;
OsjChr10 12764960 52 1073472 1188 0 YB7;
OsjChr10 12764960 52 1104797 1361 0 YB5;
OsjChr10 12764960 52 1141694 3003 0 YB2;
OsjChr10 12764960 52 1156350 1963 0 YB3;
OsjChr10 12764960 52 1160728 703 0 YB4;
OsjChr10 12764960 52 1206208 716 0 YB8;
OsjChr10 12819071 15 903455 544 0 YB7;
OsjChr10 12841697 10 673334 244 0 YB2;
OsjChr10 12846767 304 895225 6 0 YB5;
OsjChr10 12850312 11 832211 58 1 YB6;
OsjChr10 12850312 11 919761 48 1 YB3;
OsjChr10 12860524 8 717129 165 0 YB7;
OsjChr10 12860524 8 793539 250 0 YB6;
OsjChr10 12860524 8 843214 188 0 YB3;
OsjChr10 12860524 8 874221 230 0 YB8;
OsjChr10 12860524 8 977617 268 0 YB4;
OsjChr10 12869915 65 1127463 2608 0 YB5;
OsjChr10 12896258 36 1148762 10 0 YB4;
OsjChr10 12896272 21 1063477 155 0 YB5;
OsjChr10 12896272 21 1136564 1813 0 YB3;
OsjChr10 12896272 21 1144600 1812 0 YB2;
OsjChr10 12896272 21 1209120 36 0 YB8;
OsjChr10 12896272 21 695769 237 0 YB6;
OsjChr10 12896272 21 829601 297 0 YB7;
OsjChr10 12905253 391 680539 273 0 YB6;
OsjChr10 12950852 6 1011673 817 0 YB5;
OsjChr10 12950852 6 1014539 751 0 YB6;
OsjChr10 12950852 6 1031026 1063 0 YB7;
OsjChr10 12950852 6 1101804 1799 0 YB2;
OsjChr10 12950852 6 1108360 630 0 YB4;
OsjChr10 12950852 6 1128057 632 0 YB8;
OsjChr10 12950852 6 832066 110 0 YB3;
OsjChr10 12964421 173 928075 10 0 YB6;
OsjChr10 13000454 5 726045 299 0 YB6;
OsjChr10 1301157 15 1026911 427 16 YB5;
OsjChr10 13046847 249 691523 278 0 YB6;
OsjChr10 13110417 26 1087620 1462 0 YB3;
OsjChr10 13110417 26 1140767 2892 0 YB1;
OsjChr10 13175357 74 853036 249 0 YB4;
OsjChr10 13192091 19 1066660 45 20 YB7;
OsjChr10 13269753 19 803810 435 0 YB2;
OsjChr10 13270100 186 945443 796 0 YB6;
OsjChr10 13270400 147 1119442 1094 0 YB4;
OsjChr10 1327784 462 776936 247 0 YB1;
OsjChr10 13327961 9 918077 75 0 YB1;
OsjChr10 13327961 9 981491 92 0 YB2;
OsjChr10 13334045 33 1204301 2112 0 YB4;
OsjChr10 13384843 307 997343 575 0 YB8;
OsjChr10 13384843 88 974197 984 0 YB5;
OsjChr10 13403546 347 1098757 7 0 YB5;
OsjChr10 13403546 347 1112576 7 0 YB7;
OsjChr10 13403566 327 1200765 17 0 YB4;
OsjChr10 13403566 327 819611 11 0 YB6;
OsjChr10 13403566 327 972211 10 0 YB8;
OsjChr10 13443082 12 1072428 507 0 YB7;
OsjChr10 13443082 12 1083144 689 0 YB2;
OsjChr10 13443082 12 1106494 687 0 YB3;
OsjChr10 13443082 12 1181495 2269 0 YB6;
OsjChr10 13443082 12 1316577 2451 0 YB8;
OsjChr10 13443082 12 924828 227 0 YB4;
OsjChr10 13443082 12 992769 689 0 YB5;
OsjChr10 13445100 7 1109135 1004 0 YB5;
OsjChr10 13445100 7 1111650 832 0 YB2;
OsjChr10 13445100 7 1113786 1004 0 YB7;
OsjChr10 13445100 7 1132346 219 0 YB4;
OsjChr10 13445100 7 1181495 4275 0 YB6;
OsjChr10 13445100 7 1316577 4457 0 YB8;
OsjChr10 13445100 7 883168 128 0 YB3;
OsjChr10 13449802 6 1290853 2648 0 YB8;
OsjChr10 13449869 5 1290853 2714 10 YB8;
OsjChr10 13451887 9 1009125 1164 4 YB5;
OsjChr10 13451887 9 1022691 1303 4 YB2;
OsjChr10 13451887 9 1044571 1226 4 YB1;
OsjChr10 13451887 9 1061955 1224 4 YB3;
OsjChr10 13451887 9 818193 410 4 YB7;
OsjChr10 13451887 9 836209 438 4 YB6;
OsjChr10 13451887 9 913907 404 4 YB8;
OsjChr10 13467877 114 1237682 2915 0 YB4;
OsjChr10 13530225 23 936035 22 7 YB1;
OsjChr10 13530257 8 936035 38 1 YB1;
OsjChr10 13563814 35 937817 6 0 YB8;
OsjChr10 13596887 207 1099375 896 0 YB8;
OsjChr10 13628477 6 1086946 1970 0 YB2;
OsjChr10 13628477 6 833026 298 0 YB3;
OsjChr10 13630418 40 791563 285 0 YB8;
OsjChr10 13747036 389 665159 258 0 YB7;
OsjChr10 13749098 12 921403 170 0 YB7;
OsjChr10 13749120 159 921403 180 0 YB7;
OsjChr10 13749147 69 977591 193 0 YB1;
OsjChr10 13749226 53 977591 203 0 YB1;
OsjChr10 13754291 31 1158664 2993 0 YB6;
OsjChr10 13801212 381 1056379 1364 0 YB1;
OsjChr10 13801223 360 1037303 1377 0 YB5;
OsjChr10 1389435 13 938849 188 0 YB3;
OsjChr10 1389619 17 700726 197 0 YB2;
OsjChr10 13941147 159 1019001 630 0 YB8;
OsjChr10 13962637 209 681086 58 0 YB5;
OsjChr10 13978868 1166 1112103 1367 0 YB6;
OsjChr10 13978868 1166 1152480 2056 0 YB3;
OsjChr10 13978868 1166 1154746 2749 0 YB2;
OsjChr10 13978868 1166 1170097 3916 0 YB5;
OsjChr10 13978868 1166 1301153 2197 0 YB8;
OsjChr10 13983533 247 1250930 3414 0 YB4;
OsjChr10 14050085 5 902318 355 0 YB5;
OsjChr10 14095471 55 799504 6 0 YB3;
OsjChr10 14095597 26 1156649 7 0 YB6;
OsjChr10 14099884 36 1089720 21 1 YB4;
OsjChr10 14103045 5 1022377 480 0 YB4;
OsjChr10 14103045 5 1142849 3069 0 YB5;
OsjChr10 14103045 5 923823 388 0 YB3;
OsjChr10 14103045 5 978130 95 0 YB7;
OsjChr10 14159741 352 984597 418 0 YB4;
OsjChr10 14201245 23 710940 258 19 YB2;
OsjChr10 14213517 12 960328 516 0 YB3;
OsjChr10 14245406 363 982299 539 0 YB8;
OsjChr10 14272688 217 946790 353 0 YB4;
OsjChr10 14330989 200 971053 6 0 YB6;
OsjChr10 1437354 151 868165 362 0 YB8;
OsjChr10 14374938 15 756459 221 0 YB7;
OsjChr10 14375954 15 661461 166 0 YB7;
OsjChr10 14389863 85 1107906 724 7 YB2;
OsjChr10 14389959 133 1107906 742 26 YB2;
OsjChr10 14395675 7 875183 62 0 YB5;
OsjChr10 14403320 121 1253633 3535 0 YB4;
OsjChr10 14450032 283 1104152 1712 0 YB3;
OsjChr10 14463141 68 1093062 11 1 YB4;
OsjChr10 14463282 40 1093062 85 0 YB4;
OsjChr10 14473863 18 1312773 134 15 YB8;
OsjChr10 14478784 24 923355 709 0 YB6;
OsjChr10 14525287 78 796648 41 0 YB3;
OsjChr10 1456381 12 1128092 2609 0 YB2;
OsjChr10 1456400 138 1128092 2616 120 YB2;
OsjChr10 1456550 15 1128092 2748 0 YB2;
OsjChr10 1456572 72 1128092 2755 0 YB2;
OsjChr10 14575289 230 852519 518 0 YB5;
OsjChr10 14585805 30 804213 301 0 YB8;
OsjChr10 14594605 152 1056153 7 0 YB3;
OsjChr10 14594751 484 992367 6 0 YB8;
OsjChr10 14617678 15 1138181 114 0 YB6;
OsjChr10 14617774 6 1138181 198 0 YB6;
OsjChr10 14658786 179 1180489 6 0 YB6;
OsjChr10 14700369 463 961749 36 0 YB2;
OsjChr10 14703459 28 1150424 1263 0 YB4;
OsjChr10 14703538 47 1150424 1314 0 YB4;
OsjChr10 14706408 300 1116368 2504 0 YB2;
OsjChr10 14735838 6 1256017 3662 0 YB4;
OsjChr10 1473914 330 1151196 1466 0 YB7;
OsjChr10 14760333 132 911115 69 0 YB1;
