Tname tGapStart tGapSize Samples
OsjChr10 10790085 131 YB2;YB3;YB5;YB7;YB8;
OsjChr10 10808634 306 YB4;
OsjChr10 10808634 336 YB6;
OsjChr10 10824326 164 YB7;YB8;
OsjChr10 10824492 7 YB3;YB4;YB6;
OsjChr10 10824921 32 YB3;YB5;YB6;YB6;
OsjChr10 10839227 45 YB1;YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 10844270 366 YB2;YB6;YB7;YB8;
OsjChr10 10864159 5 YB8;
OsjChr10 10864736 5 YB2;YB3;YB4;YB5;YB6;YB8;
OsjChr10 10903654 87 YB6;
OsjChr10 10917384 102 YB5;YB6;YB7;YB8;
OsjChr10 10927496 24 YB4;YB5;YB6;YB7;
OsjChr10 10933104 12 YB2;YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 11006024 34 YB5;
OsjChr10 11006028 30 YB2;YB3;
OsjChr10 11006034 24 YB8;
OsjChr10 1102629 113 YB7;
OsjChr10 1102635 113 YB2;YB3;YB6;YB8;
OsjChr10 11053376 354 YB5;
OsjChr10 11061037 8 YB2;
OsjChr10 11113113 29 YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 11119592 87 YB5;
OsjChr10 1113148 10 YB1;YB2;
OsjChr10 11146985 7 YB5;
OsjChr10 1117201 284 YB5;
OsjChr10 1117235 247 YB3;
OsjChr10 11182366 5 YB6;
OsjChr10 11273315 127 YB2;
OsjChr10 11306066 26 YB4;YB5;YB6;YB7;YB8;
OsjChr10 11306066 28 YB3;
OsjChr10 11324936 56 YB8;
OsjChr10 11350345 6 YB2;YB3;
OsjChr10 11448645 90 YB5;
OsjChr10 11486770 301 YB8;
OsjChr10 11492370 16 YB3;
OsjChr10 11537494 15 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 1155437 110 YB4;
OsjChr10 11558184 52 YB2;YB3;YB4;YB6;YB7;YB8;
OsjChr10 11571097 67 YB1;
OsjChr10 11622272 7 YB3;
OsjChr10 11622317 9 YB3;
OsjChr10 11719256 394 YB8;
OsjChr10 1172 56 YB2;
OsjChr10 11746116 7 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 11747031 4498 YB2;YB3;YB5;YB8;
OsjChr10 11748119 12 YB1;YB2;YB4;YB5;YB7;
OsjChr10 11760234 33 YB4;YB7;
OsjChr10 11763820 4259 YB5;YB6;YB7;YB8;
OsjChr10 11783417 8 YB2;YB4;YB5;YB6;YB7;YB8;
OsjChr10 11783435 28 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 11802914 65 YB8;
OsjChr10 1180523 26 YB5;
OsjChr10 11829876 151 YB4;
OsjChr10 11863957 63 YB4;
OsjChr10 11923663 3037 YB5;
OsjChr10 12016315 18 YB8;
OsjChr10 1207607 236 YB6;
OsjChr10 12100124 363 YB6;
OsjChr10 12124815 6 YB2;
OsjChr10 12125465 14 YB7;
OsjChr10 12171403 143 YB8;
OsjChr10 12178546 84 YB3;
OsjChr10 12188137 161 YB2;
OsjChr10 12193165 2653 YB4;
OsjChr10 12204853 164 YB3;
OsjChr10 12208454 22 YB7;
OsjChr10 12208499 126 YB7;
OsjChr10 12208679 10 YB7;
OsjChr10 12226435 206 YB8;
OsjChr10 12283033 13 YB3;YB4;
OsjChr10 12381548 2046 YB7;
OsjChr10 12383544 48 YB7;
OsjChr10 1250 98 YB5;YB7;
OsjChr10 1251 118 YB2;YB6;
OsjChr10 12511516 438 YB6;
OsjChr10 12641007 171 YB8;
OsjChr10 12662730 30 YB3;
OsjChr10 12667708 23 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 1269 103 YB1;YB3;YB4;
OsjChr10 1272386 30 YB6;
OsjChr10 12764960 52 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 12819071 15 YB7;
OsjChr10 12841697 10 YB2;
OsjChr10 12846767 304 YB5;
OsjChr10 12850312 11 YB3;YB6;
OsjChr10 12860524 8 YB3;YB4;YB6;YB7;YB8;
OsjChr10 12869915 65 YB5;
OsjChr10 12896258 36 YB4;
OsjChr10 12896272 21 YB2;YB3;YB5;YB6;YB7;YB8;
OsjChr10 12905253 391 YB6;
OsjChr10 12950852 6 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 12964421 173 YB6;
OsjChr10 13000454 5 YB6;
OsjChr10 1301157 15 YB5;
OsjChr10 13046847 249 YB6;
OsjChr10 13110417 26 YB1;YB3;
OsjChr10 13175357 74 YB4;
OsjChr10 13192091 19 YB7;
OsjChr10 13269753 19 YB2;
OsjChr10 13270100 186 YB6;
OsjChr10 13270400 147 YB4;
OsjChr10 1327784 462 YB1;
OsjChr10 13327961 9 YB1;YB2;
OsjChr10 13334045 33 YB4;
OsjChr10 13384843 307 YB8;
OsjChr10 13384843 88 YB5;
OsjChr10 13403546 347 YB5;YB7;
OsjChr10 13403566 327 YB4;YB6;YB8;
OsjChr10 13443082 12 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 13445100 7 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 13449802 6 YB8;
OsjChr10 13449869 5 YB8;
OsjChr10 13451887 9 YB1;YB2;YB3;YB5;YB6;YB7;YB8;
OsjChr10 13467877 114 YB4;
OsjChr10 13530225 23 YB1;
OsjChr10 13530257 8 YB1;
OsjChr10 13563814 35 YB8;
OsjChr10 13596887 207 YB8;
OsjChr10 13628477 6 YB2;YB3;
OsjChr10 13630418 40 YB8;
OsjChr10 13747036 389 YB7;
OsjChr10 13749098 12 YB7;
OsjChr10 13749120 159 YB7;
OsjChr10 13749147 69 YB1;
OsjChr10 13749226 53 YB1;
OsjChr10 13754291 31 YB6;
OsjChr10 13801212 381 YB1;
OsjChr10 13801223 360 YB5;
OsjChr10 1389435 13 YB3;
OsjChr10 1389619 17 YB2;
OsjChr10 13941147 159 YB8;
OsjChr10 13962637 209 YB5;
OsjChr10 13978868 1166 YB2;YB3;YB5;YB6;YB8;
OsjChr10 13983533 247 YB4;
OsjChr10 14050085 5 YB5;
OsjChr10 14095471 55 YB3;
OsjChr10 14095597 26 YB6;
OsjChr10 14099884 36 YB4;
OsjChr10 14103045 5 YB3;YB4;YB5;YB7;
OsjChr10 14159741 352 YB4;
OsjChr10 14201245 23 YB2;
OsjChr10 14213517 12 YB3;
OsjChr10 14245406 363 YB8;
OsjChr10 14272688 217 YB4;
OsjChr10 14330989 200 YB6;
OsjChr10 1437354 151 YB8;
OsjChr10 14374938 15 YB7;
OsjChr10 14375954 15 YB7;
OsjChr10 14389863 85 YB2;
OsjChr10 14389959 133 YB2;
OsjChr10 14395675 7 YB5;
OsjChr10 14403320 121 YB4;
OsjChr10 14450032 283 YB3;
OsjChr10 14463141 68 YB4;
OsjChr10 14463282 40 YB4;
OsjChr10 14473863 18 YB8;
OsjChr10 14478784 24 YB6;
OsjChr10 14525287 78 YB3;
OsjChr10 1456381 12 YB2;
OsjChr10 1456400 138 YB2;
OsjChr10 1456550 15 YB2;
OsjChr10 1456572 72 YB2;
OsjChr10 14575289 230 YB5;
OsjChr10 14585805 30 YB8;
OsjChr10 14594605 152 YB3;
OsjChr10 14594751 484 YB8;
OsjChr10 14617678 15 YB6;
OsjChr10 14617774 6 YB6;
OsjChr10 14658786 179 YB6;
OsjChr10 14700369 463 YB2;
OsjChr10 14703459 28 YB4;
OsjChr10 14703538 47 YB4;
OsjChr10 14706408 300 YB2;
OsjChr10 14735838 6 YB4;
OsjChr10 1473914 330 YB7;
OsjChr10 14760333 132 YB1;YB3;
OsjChr10 14837269 6 YB2;
OsjChr10 14865372 77 YB2;
OsjChr10 14865480 302 YB2;
OsjChr10 14872195 337 YB4;
OsjChr10 14887635 6 YB6;
OsjChr10 14959794 13 YB1;YB2;YB4;YB5;YB6;
OsjChr10 14962310 17 YB1;
OsjChr10 15035232 67 YB7;
OsjChr10 15079809 52 YB8;
OsjChr10 15083483 52 YB8;
OsjChr10 15136486 57 YB2;
OsjChr10 15190222 6 YB5;YB6;
OsjChr10 15195764 12 YB3;
OsjChr10 15203168 267 YB6;
OsjChr10 15203229 206 YB3;
OsjChr10 15203848 26 YB2;
OsjChr10 15211648 12 YB6;
OsjChr10 1522791 374 YB6;
OsjChr10 15239624 105 YB8;
OsjChr10 15248602 94 YB7;
OsjChr10 15249210 95 YB1;
OsjChr10 15277889 6 YB5;
OsjChr10 15278125 197 YB5;YB6;
OsjChr10 15302644 165 YB5;YB7;
OsjChr10 15350096 459 YB7;
OsjChr10 1536226 106 YB8;
OsjChr10 15371411 9 YB3;
OsjChr10 15371423 32 YB3;
OsjChr10 15387511 1403 YB4;YB5;YB6;
OsjChr10 15392172 203 YB4;
OsjChr10 15392388 26 YB4;
OsjChr10 15415940 90 YB2;
OsjChr10 15427128 431 YB7;
OsjChr10 1544816 389 YB2;
OsjChr10 1544978 18 YB5;
OsjChr10 1545186 9 YB5;
OsjChr10 1547596 85 YB7;YB8;
OsjChr10 15482581 24 YB1;
OsjChr10 15488670 11 YB1;
OsjChr10 15519794 9 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 15527078 13 YB2;YB3;
OsjChr10 15527090 235 YB8;
OsjChr10 15542674 6 YB1;YB2;YB5;YB8;
OsjChr10 1556983 141 YB5;
OsjChr10 15581891 408 YB6;
OsjChr10 15604626 366 YB5;
OsjChr10 15693048 45 YB5;
OsjChr10 15709756 7 YB5;
OsjChr10 15738479 17 YB7;
OsjChr10 15738627 9 YB1;YB3;YB5;
OsjChr10 15802111 273 YB5;
OsjChr10 15825867 169 YB5;
OsjChr10 15825872 193 YB8;
OsjChr10 15828289 115 YB1;
OsjChr10 15842678 231 YB2;
OsjChr10 15849045 124 YB4;
OsjChr10 15849206 5 YB4;
OsjChr10 15860493 98 YB3;
OsjChr10 15860606 67 YB1;YB4;
OsjChr10 15894767 416 YB4;
OsjChr10 15916820 36 YB2;YB3;YB5;YB6;YB7;YB8;
OsjChr10 15918369 105 YB5;
OsjChr10 15951849 179 YB8;
OsjChr10 15970710 143 YB5;
OsjChr10 15977775 1043 YB1;YB5;
OsjChr10 16041448 473 YB8;
OsjChr10 16078857 53 YB3;
OsjChr10 16086771 472 YB8;
OsjChr10 16095151 122 YB2;
OsjChr10 16097218 72 YB8;
OsjChr10 16130541 123 YB1;
OsjChr10 16131860 101 YB7;
OsjChr10 16134620 5 YB5;YB6;YB7;
OsjChr10 16157694 294 YB3;YB6;
OsjChr10 16181131 87 YB7;
OsjChr10 16195813 110 YB4;
OsjChr10 16197853 23 YB8;
OsjChr10 16200582 304 YB7;
OsjChr10 16296194 33 YB2;
OsjChr10 16300290 11 YB4;
OsjChr10 16304201 14 YB4;
OsjChr10 16307100 8 YB5;
OsjChr10 16315761 802 YB5;
OsjChr10 16354586 412 YB8;
OsjChr10 16390564 153 YB2;
OsjChr10 16390816 152 YB2;
OsjChr10 16411063 24 YB3;YB5;
OsjChr10 16448333 609 YB1;YB2;YB4;YB5;YB8;
OsjChr10 16456638 361 YB2;
OsjChr10 16456641 237 YB3;
OsjChr10 16456656 343 YB7;
OsjChr10 16456839 148 YB1;
OsjChr10 16481368 114 YB2;
OsjChr10 16514838 28 YB1;
OsjChr10 16534691 5 YB6;
OsjChr10 16534709 5 YB7;
OsjChr10 16534712 5 YB4;
OsjChr10 16540330 40 YB8;
OsjChr10 16562742 1558 YB2;
OsjChr10 16573538 6 YB3;YB7;
OsjChr10 16607217 24 YB3;
OsjChr10 16613203 224 YB2;YB3;
OsjChr10 1665303 90 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 16760618 9 YB3;
OsjChr10 1681435 15 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 16836322 349 YB3;
OsjChr10 16862932 117 YB2;
OsjChr10 16875755 23 YB5;
OsjChr10 16947914 185 YB7;
OsjChr10 16947991 185 YB1;
OsjChr10 16965890 82 YB2;
OsjChr10 16966005 5 YB2;YB3;
OsjChr10 16966072 19 YB7;
OsjChr10 16969029 24 YB1;YB2;YB4;YB5;YB6;YB7;YB8;
OsjChr10 16985420 8 YB2;YB3;
OsjChr10 16985716 83 YB2;
OsjChr10 16993358 183 YB6;
OsjChr10 17053720 131 YB7;
OsjChr10 17080081 10 YB2;YB3;YB4;YB5;YB6;YB8;
OsjChr10 17080081 12 YB7;
OsjChr10 17096529 9 YB5;
OsjChr10 17101395 7 YB1;
OsjChr10 17126859 7 YB8;
OsjChr10 17156027 24 YB1;
OsjChr10 17156103 205 YB1;
OsjChr10 17166514 43 YB1;
OsjChr10 17179401 54 YB1;
OsjChr10 17179425 22 YB3;
OsjChr10 17179425 66 YB1;
OsjChr10 17181165 9 YB5;
OsjChr10 1719034 6 YB6;
OsjChr10 1719051 25 YB6;
OsjChr10 17190872 30 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 17200641 132 YB6;
OsjChr10 17210543 261 YB6;
OsjChr10 17255881 6 YB5;
OsjChr10 17272814 37 YB5;
OsjChr10 17294746 29 YB3;
OsjChr10 17296357 4084 YB2;YB4;YB5;
OsjChr10 17300525 18 YB5;
OsjChr10 17353432 49 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 17356283 7 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 17357650 6 YB2;YB3;YB4;YB5;YB6;YB8;
OsjChr10 17380853 28 YB2;
OsjChr10 1743597 19 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 17442070 7 YB3;
OsjChr10 17455981 85 YB2;YB5;YB8;
OsjChr10 17456386 33 YB2;YB3;YB4;YB5;YB6;YB8;
OsjChr10 17512266 25 YB6;
OsjChr10 17515679 6 YB6;
OsjChr10 17534231 10 YB6;
OsjChr10 17536520 7 YB8;
OsjChr10 17543044 278 YB2;
OsjChr10 17549787 109 YB5;
OsjChr10 17568924 68 YB7;
OsjChr10 17582978 6 YB5;
OsjChr10 1759790 2171 YB4;YB6;
OsjChr10 17600728 9 YB7;
OsjChr10 1760479 166 YB3;
OsjChr10 1763219 321 YB8;
OsjChr10 17654174 6 YB8;
OsjChr10 17654189 249 YB1;
OsjChr10 17664791 112 YB6;
OsjChr10 17691218 8 YB3;
OsjChr10 17696949 250 YB7;
OsjChr10 17712740 9 YB2;
OsjChr10 17720479 166 YB4;
OsjChr10 17743855 127 YB4;
OsjChr10 17767472 137 YB4;
OsjChr10 17767473 139 YB5;
OsjChr10 17767473 240 YB7;
OsjChr10 17770047 446 YB8;
OsjChr10 17825169 117 YB2;
OsjChr10 1790746 11 YB2;
OsjChr10 17941188 43 YB2;YB8;
OsjChr10 17955119 173 YB2;
OsjChr10 17957651 191 YB3;
OsjChr10 17960308 19 YB2;YB2;YB3;YB4;YB5;YB6;YB8;
OsjChr10 17974290 30 YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 17975333 43 YB7;
OsjChr10 17975971 7 YB1;YB7;
OsjChr10 18032116 458 YB6;
OsjChr10 1807606 22 YB8;
OsjChr10 1809781 279 YB1;
OsjChr10 1809882 46 YB5;
OsjChr10 18100416 60 YB3;YB5;
OsjChr10 18139043 8 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 1816516 335 YB8;
OsjChr10 18183175 400 YB3;YB7;
OsjChr10 18222523 18 YB7;
OsjChr10 18236119 183 YB4;
OsjChr10 18243184 122 YB6;
OsjChr10 182434 114 YB7;
OsjChr10 18257637 14 YB5;YB6;YB7;
OsjChr10 18262369 12 YB7;
OsjChr10 18267801 150 YB8;
OsjChr10 18271236 10 YB3;
OsjChr10 18271236 6 YB5;YB6;YB7;YB8;
OsjChr10 18271236 8 YB4;
OsjChr10 18285589 24 YB8;
OsjChr10 18297521 56 YB7;
OsjChr10 18306556 218 YB2;
OsjChr10 1832405 156 YB6;
OsjChr10 18341255 73 YB8;
OsjChr10 18354313 40 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 1835664 35 YB2;
OsjChr10 1835693 6 YB3;
OsjChr10 18375820 105 YB6;
OsjChr10 18393369 428 YB5;
OsjChr10 18393791 426 YB3;
OsjChr10 18412691 57 YB8;
OsjChr10 18421246 339 YB4;
OsjChr10 18511109 69 YB7;
OsjChr10 18530230 9 YB7;
OsjChr10 18549126 275 YB7;
OsjChr10 18549151 252 YB2;
OsjChr10 18549418 256 YB6;
OsjChr10 18565150 63 YB2;
OsjChr10 18572350 12 YB5;YB6;YB7;YB8;
OsjChr10 18591202 35 YB3;
OsjChr10 18602622 884 YB8;
OsjChr10 18603560 83 YB8;
OsjChr10 18604656 6 YB4;
OsjChr10 18655616 20 YB8;
OsjChr10 18684040 468 YB6;
OsjChr10 18702171 68 YB3;YB8;
OsjChr10 18706432 76 YB5;
OsjChr10 18727055 38 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 18743648 41 YB2;YB4;YB5;YB6;YB8;
OsjChr10 18747404 59 YB5;
OsjChr10 1882150 486 YB7;
OsjChr10 18827632 18 YB1;YB2;YB4;YB6;
OsjChr10 18828291 50 YB8;
OsjChr10 18829859 18 YB5;
OsjChr10 18833088 11 YB6;
OsjChr10 18842832 450 YB2;
OsjChr10 18869428 500 YB1;
OsjChr10 18875897 5 YB3;
OsjChr10 18878022 7 YB4;YB5;
OsjChr10 18878033 6 YB7;YB8;
OsjChr10 18899518 12 YB5;
OsjChr10 18918876 1094 YB6;
OsjChr10 18934041 8 YB2;YB3;YB4;YB5;YB6;YB7;
OsjChr10 18942781 677 YB7;
OsjChr10 18947762 4961 YB5;
OsjChr10 18954107 187 YB8;
OsjChr10 18954599 33 YB6;
OsjChr10 18954669 499 YB6;
OsjChr10 18959446 6 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 18985374 12 YB1;
OsjChr10 18998967 3415 YB2;
OsjChr10 18999059 3421 YB2;
OsjChr10 19003004 8 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 19008266 495 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 19009387 11 YB2;YB3;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 19015819 26 YB8;
OsjChr10 19015839 6 YB2;YB2;YB4;YB5;YB7;
OsjChr10 19026804 16 YB3;
OsjChr10 19034648 50 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 19038051 118 YB3;
OsjChr10 19038188 43 YB7;
OsjChr10 19039279 16 YB2;YB3;YB4;YB5;YB5;YB6;YB7;YB8;
OsjChr10 19039529 280 YB5;YB6;
OsjChr10 19039666 683 YB3;YB4;
OsjChr10 19039945 398 YB5;YB6;YB8;
OsjChr10 19040026 403 YB7;
OsjChr10 19040306 123 YB2;
OsjChr10 19043252 13 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 19053265 8 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 19062675 12 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 19062880 10 YB7;
OsjChr10 19063682 228 YB2;
OsjChr10 19063916 12 YB2;
OsjChr10 19069697 323 YB7;
OsjChr10 19072191 5 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 19077124 287 YB6;
OsjChr10 19084336 7 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 19087823 8 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 19088933 95 YB5;
OsjChr10 19108848 9 YB4;
OsjChr10 19116195 243 YB1;
OsjChr10 19145474 27 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 19152451 345 YB6;
OsjChr10 19169739 15 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 19182843 338 YB2;YB3;YB7;
OsjChr10 19184093 413 YB4;
OsjChr10 19203052 14 YB2;YB3;YB4;YB5;YB5;YB6;YB7;YB8;
OsjChr10 19217032 112 YB2;YB3;YB4;YB5;YB6;YB6;YB7;YB8;
OsjChr10 19226564 79 YB1;YB4;YB7;
OsjChr10 19272661 15 YB7;
OsjChr10 19274903 5 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 1928405 16 YB4;
OsjChr10 19290244 392 YB6;
OsjChr10 19293095 466 YB8;
OsjChr10 19293575 5 YB8;
OsjChr10 19350117 64 YB6;
OsjChr10 19366681 1358 YB7;
OsjChr10 19389216 5 YB3;YB7;YB8;
OsjChr10 19397834 7 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 1940164 67 YB5;
OsjChr10 19401949 430 YB4;
OsjChr10 19418696 10 YB5;
OsjChr10 19462094 84 YB5;
OsjChr10 19473009 12 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 1947411 125 YB7;
OsjChr10 19675413 6 YB2;
OsjChr10 19675435 8 YB2;
OsjChr10 196913 16 YB1;
OsjChr10 19734769 38 YB5;
OsjChr10 19775560 428 YB4;
OsjChr10 19775989 9 YB2;
OsjChr10 19844634 154 YB2;
OsjChr10 19858870 17 YB5;
OsjChr10 19874828 495 YB4;
OsjChr10 19931439 5 YB2;YB4;YB5;YB6;YB8;
OsjChr10 19974890 21 YB3;
OsjChr10 19978509 118 YB6;
OsjChr10 2000858 1490 YB1;
OsjChr10 20017371 5 YB1;
OsjChr10 20069703 8 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 20084571 80 YB4;YB8;
OsjChr10 20107595 7 YB7;
OsjChr10 20107673 97 YB7;
OsjChr10 20164946 197 YB3;
OsjChr10 20175421 117 YB1;
OsjChr10 20184322 48 YB7;
OsjChr10 20184322 50 YB4;
OsjChr10 20184322 52 YB2;YB3;YB4;
OsjChr10 20203357 10 YB3;
OsjChr10 20203867 321 YB4;
OsjChr10 20203868 319 YB2;
OsjChr10 20206919 24 YB4;
OsjChr10 20206929 14 YB2;YB3;
OsjChr10 20211615 196 YB6;
OsjChr10 20218570 163 YB5;
OsjChr10 2026907 103 YB5;
OsjChr10 2032643 19 YB6;
OsjChr10 20340681 518 YB8;
OsjChr10 20444127 147 YB8;
OsjChr10 2050873 6 YB2;YB3;YB4;YB5;YB8;
OsjChr10 20540102 30 YB5;
OsjChr10 20595191 2027 YB1;YB2;
OsjChr10 20598434 118 YB3;
OsjChr10 20609250 69 YB4;
OsjChr10 20609251 68 YB5;YB6;YB7;
OsjChr10 20614793 71 YB2;
OsjChr10 20626916 5 YB6;
OsjChr10 20626929 5 YB4;YB6;
OsjChr10 2062849 7 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 20645222 11 YB1;YB7;
OsjChr10 20646002 293 YB3;
OsjChr10 2068037 10 YB8;
OsjChr10 2068038 9 YB4;
OsjChr10 2068899 8 YB4;
OsjChr10 2068927 13 YB4;
OsjChr10 2069077 68 YB2;YB4;YB5;YB7;
OsjChr10 20695042 405 YB6;
OsjChr10 2069882 6 YB4;
OsjChr10 2069899 16 YB4;YB7;
OsjChr10 2069926 70 YB2;YB4;YB6;YB7;YB8;
OsjChr10 2069926 74 YB3;YB5;YB7;
OsjChr10 20714561 15 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 20721533 109 YB4;
OsjChr10 20722882 5 YB4;
OsjChr10 2073670 22 YB4;YB8;
OsjChr10 20737818 63 YB7;
OsjChr10 20744181 7 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 20754339 69 YB4;
OsjChr10 20769 212 YB5;
OsjChr10 20771427 34 YB2;
OsjChr10 20797006 5 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 20850765 45 YB7;
OsjChr10 2085889 17 YB6;
OsjChr10 20871237 10 YB1;
OsjChr10 20983257 7 YB8;
OsjChr10 20983260 201 YB7;
OsjChr10 20994179 25 YB6;
